Contig	sRNA_ID	s1a1	s1a2	s1a3	s1b1	s1b2	s1b3	s9b1	s9b2	s9b3	s13a1	s13a2	s13a3	s13b1	s13b2	s13b3	s17a1	s17a2	s17a3	s17b1	s17b2	s17b3	s2017-9am1	s2017-9am2	s2017-9am3	s2017-9am4	s2017-9am5	s2017-9am6	s2017-9am7	s2017-9am8	s2017-9am9	s2017-9am10	s2017-9am11	s2017-9am12	s2017-9pm1	s2017-9pm2	s2017-9pm3	s2017-9pm4	s2017-9pm5	s2017-9pm6	s2017-9pm7	s2017-9pm8	s2017-9pm9	s2017-9pm10	s2017-9pm11	s2017-9pm12
NODE_3657_length_13483_cov_8.941540	STRG.42881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	364.731415	0	374.035889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_3662_length_13463_cov_135.507085	STRG.42914	0	248.566025	0	0	0	0	0	0	0	0	125.889519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250.093613	0	0	0	0
NODE_36678_length_3613_cov_7.935357	STRG.145778	0	0	610.054993	1252.487061	0	0	0	204.138077	0	0	0	0	159.772202	0	0	0	0	0	0	792.10199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_36869_length_3600_cov_8.165867	STRG.146101	0	0	0	0	0	0	0	0	0	0	0	0	0	352.874176	0	669.33429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_3688_length_13421_cov_10.097486	STRG.43095	11.385949	723.748047	336.516266	85.105873	15.207647	0	87.296272	81.227112	38.456856	0	325.565765	0	44.387337	0	41.518536	60.440845	49.529827	34.131279	0	17.094372	0	68.156296	111.624825	43.852833	75.02449	30.450468	0	0	24.877611	29.620193	27.53867	0	0	0	29.39085	0	23.742649	0	0	60.181309	0	24.23872	0	0	0
NODE_3689_length_13419_cov_8.185349	STRG.43106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	324.756409	0	200.584991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_36964_length_3594_cov_4.931337	STRG.146292	0	0	163.868851	705.482422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_36998_length_3592_cov_5.100368	STRG.146350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173.125977	0	0	205.251556	0	700.221924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_37225_length_3576_cov_4.127237	STRG.146723	191.687057	276.883698	0	0	0	0	345.436523	251.907013	93.708328	0	0	0	651.223328	381.163727	0	0	0	0	490.674713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_37471_length_3559_cov_91.350171	STRG.147138	0	0	0	0	0	0	0	0	0	0	17.843149	0	43.935432	32.046425	330.669861	0	477.999664	0	420.296112	0	311.323547	0	0	0	0	0	0	0	0	0	97.802788	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_37476_length_3559_cov_6.353025	STRG.147146	148.093857	0	402.751923	0	87.854874	0	511.771912	125.732468	140.965454	746.359131	0	0	0	0	269.752136	0	0	0	73.998138	258.321655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	470.850952
NODE_37480_length_3559_cov_3.650685	STRG.147149	108.365967	310.784393	0	0	0	790.61676	0	0	0	0	0	0	380.52713	309.321625	0	0	0	384.495178	232.584869	264.513153	86.660858	0	1123.592407	0	0	2320.476074	673.396484	0	0	0	0	0	981.875366	0	0	0	590.44281	0	157.621445	394.940308	495.799591	0	714.519104	369.203857	443.670929
