Contig	sRNA_ID	s1a1	s1a2	s1a3	s1b1	s1b2	s1b3	s9b1	s9b2	s9b3	s13a1	s13a2	s13a3	s13b1	s13b2	s13b3	s17a1	s17a2	s17a3	s17b1	s17b2	s17b3	s2017-9am1	s2017-9am2	s2017-9am3	s2017-9am4	s2017-9am5	s2017-9am6	s2017-9am7	s2017-9am8	s2017-9am9	s2017-9am10	s2017-9am11	s2017-9am12	s2017-9pm1	s2017-9pm2	s2017-9pm3	s2017-9pm4	s2017-9pm5	s2017-9pm6	s2017-9pm7	s2017-9pm8	s2017-9pm9	s2017-9pm10	s2017-9pm11	s2017-9pm12
NODE_24437_length_4741_cov_92.969484	STRG.120722	120.1656392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.05392973	0	31.66098411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	#DIV/0!	0	0
NODE_245_length_38171_cov_24.182784	STRG.6492	25.21430532	6.588931829	65.14134654	199.8899578	43.43603434	172.559509	0	34.61868404	56.72702522	113.0717492	59.54026001	68.65578935	160.166008	103.406183	56.65544816	44.55390709	167.0565924	73.70487224	35.08008429	77.22663765	21.05824036	0	327.3810337	0	127.457915	363.6685729	192.7628574	0	0	93.82790778	95.71557181	141.5946261	0	0	93.25628079	141.1715743	43.46594224	0	111.9741424	0	0	0	274.1326694	88.21192763	0
NODE_24596_length_4722_cov_10.575959	STRG.121086	#DIV/0!	#DIV/0!	1141.867647	#DIV/0!	400.0825426	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	508.3223712	#DIV/0!	394.79344	#DIV/0!	0	#DIV/0!	0	#DIV/0!	150.946465	#DIV/0!	#DIV/0!	#DIV/0!	0	811.5862791	#DIV/0!	#DIV/0!	685.3516063	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	417.5866978	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
NODE_246_length_38081_cov_24.109741	STRG.6516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269.5362896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_24688_length_4709_cov_18.128277	STRG.121310	787.7484457	#DIV/0!	3218.917024	#DIV/0!	0	#DIV/0!	502.9505636	911.6634084	453.1482839	#DIV/0!	858.2449988	#DIV/0!	625.7708998	1224.431481	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	504.0148179	#DIV/0!	255.7975406	#DIV/0!	0	0	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	1077.133946	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	1245.26898
NODE_24698_length_4708_cov_5.180959	STRG.121333	#DIV/0!	#DIV/0!	2977.731683	#DIV/0!	#DIV/0!	5775.294254	637.6403123	#DIV/0!	583.9621096	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	1564.488734	5330.34188	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	1571.949123	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
NODE_247_length_38011_cov_13.917905	STRG.6571	0	0	0	0	228.4864753	0	135.4309857	0	116.0383165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_24727_length_4703_cov_11.200516	STRG.121403	0	0	2915.076027	0	#DIV/0!	#DIV/0!	0	2806.921163	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	193.0718013	2259.229849	786.4211187	0	362.2304957	0	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!	#DIV/0!	0	#DIV/0!	#DIV/0!	0	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
NODE_24735_length_4702_cov_17.583387	STRG.121422	82.66114556	0	61.7089375	0	0	524.3181765	38.25512379	44.14543706	69.81849715	0	0	0	160.4593315	108.1867984	74.94799092	108.3481806	#DIV/0!	61.14018297	17.82530722	68.85972872	0	#DIV/0!	0	#DIV/0!	0	0	#DIV/0!	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	1067.263856	0	0	0	0	0	0	0	0	#DIV/0!	0	0
NODE_24744_length_4700_cov_23.330678	STRG.121458	0	0	0	0	0	155.0282379	0	0	0	53.77593624	3.135709356	53.94415054	0	40.50586729	0	22.74556779	59.39733684	0	6.131840124	0	14.89445173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_24749_length_4700_cov_7.435953	STRG.121467	535.6767385	2878.605321	1384.350764	#DIV/0!	#DIV/0!	#DIV/0!	0	1342.321736	0	0	#DIV/0!	#DIV/0!	696.078603	0	0	1217.216964	5924.305014	#DIV/0!	0	961.0957322	0	902.7899212	0	0	514.7232494	2608.537479	#DIV/0!	0	0	0	#DIV/0!	#DIV/0!	0	0	0	#DIV/0!	#DIV/0!	806.5303735	0	0	#DIV/0!	478.4538525	0	0	0
NODE_248_length_37978_cov_23.494370	STRG.6609	0	0	0	0	43.89597885	0	200.1164745	15.4852766	20.95396504	39.53284276	7.926638413	66.02866133	20.43341435	0	0	0	47.12879842	0	43.96383119	0	31.61050131	0	0	0	0	0	90.82388571	74.33117559	0	141.1495994	0	0	0	0	0	0	61.31696744	0	34.21894183	52.09152094	0	0	0	18.30959462	90.7458238
NODE_24855_length_4687_cov_15.330311	STRG.121687	196.7520442	0	#DIV/0!	0	0	#DIV/0!	31.34920658	0	33.96805628	0	97.44291089	0	19.22008092	0	0	0	0	#DIV/0!	0	0	3.500670619	#DIV/0!	0	#DIV/0!	0	0	0	0	#DIV/0!	0	0	0	0	0	0	0	#DIV/0!	0	#DIV/0!	0	0	0	0	180.5889592	0
NODE_2497_length_16044_cov_18.815623	STRG.33796	38.72806715	0	0	0	0	0	0	69.41794647	633.6238193	30.41710447	0	33.68637772	0	0	33.12193759	0	0	0	89.57911865	0	0	0	0	0	0	0	0	0	0	0	0	170.9762832	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_24998_length_4671_cov_64.892331	STRG.122055	0	0	0	#DIV/0!	0	0	0	0	0	0	0	0	0	184.1000245	413.5592323	#DIV/0!	#DIV/0!	0	0	0	56.05454611	0	0	0	#DIV/0!	0	#DIV/0!	#DIV/0!	0	#DIV/0!	#DIV/0!	0	#DIV/0!	0	0	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	0	#DIV/0!	#DIV/0!	0
NODE_25_length_80780_cov_23.804670	STRG.1186	0	0	0	93.49155181	0	0	0	0	0	0	0	18.24227778	0	0	0	29.21182515	0	19.48669969	0	0	0	0	207.1198479	0	0	0	111.4184896	0	152.2702646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_25_length_80780_cov_23.804670	STRG.1201	295.8770704	477.2070778	1216.142113	1914.056068	846.0398376	0	1051.591174	1126.207851	571.0373109	697.4247337	1088.619349	379.1754611	717.2744014	706.93686	1506.401754	1604.595559	243.8960402	1365.729708	821.2199723	1568.705594	297.3541441	51.35452344	151.365325	284.550799	0	1041.155219	0	0	0	0	0	0	0	388.3426134	0	0	194.1647636	0	0	0	0	0	0	169.2728324	289.5284296
NODE_25019_length_4668_cov_22.709300	STRG.122094	0	0	#DIV/0!	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	0	0	0	0	#DIV/0!	#DIV/0!	142.7614253	0	182.7469932	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
NODE_25080_length_4660_cov_11.739414	STRG.122226	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	1204.824289	#DIV/0!	0	#DIV/0!	0	#DIV/0!	#DIV/0!	0	#DIV/0!	0	475.5533657	1057.529602	#DIV/0!	#DIV/0!	3014.359669	0	0	0	1648.325309	876.9309769	#DIV/0!	#DIV/0!	#DIV/0!	1228.776	#DIV/0!	1157.060996	1616.698475	650.0761013	#DIV/0!	1291.035039	1002.645505	#DIV/0!	0	1811.105846
